ts_unix_ms,elapsed_ms,reasm_ip_ns,reasm_ip_cnt,reasm_tcp_ns,reasm_tcp_cnt,lockwait_ns,parse_ns,parse_cnt,dump_ns,dump_cnt
1782709089604,69848,308192279,111863,0,0,1439863297,13586957333,111853,18893120,111816
1782709089854,70097,315546130,113645,0,0,1458645109,13801587075,113636,19067167,113599
1782709090110,70353,316435589,114709,0,0,1471888462,13927484990,114699,19172987,114662
1782709090362,70605,318683372,116132,0,0,1492911216,14096088722,116123,19309879,116086
1782709090630,70874,321971907,117261,0,0,1493054453,14230822889,117251,19411734,117214
1782709090882,71125,323071618,118479,0,0,1493547596,14357883419,118470,19524476,118433
1782709091210,71453,324209117,119473,0,0,1493674881,14477569319,119464,21032401,119427
1782709091462,71705,325793894,120586,0,0,1518084295,14640679056,120576,21127706,120489
1782709091712,71956,329341561,121696,0,0,1534042002,14808140285,121687,21236465,121600
1782709091963,72206,335543399,123054,0,0,1550479827,14947633635,123045,22276920,122958
1782709092214,72457,336727675,124123,0,0,1581389504,15053885931,124113,22369507,124026
1782709092464,72707,337408032,125059,0,0,1591172458,15118203226,125050,22447079,124963
1782709092716,72960,341128173,126426,0,0,1605568879,15270355654,126416,22582832,126327
1782709093193,73436,341524615,126829,0,0,1605627182,15315784055,126819,22620314,126730
1782709093447,73690,342137536,127472,0,0,1623119786,15446021169,127462,23660733,127367
1782709093699,73943,343375687,128423,0,0,1641796558,15597021196,128413,23750030,128318
1782709093950,74193,343829215,128979,0,0,1653766973,15657646716,128970,23800763,128875
1782709094201,74444,349551963,130202,0,0,1668565208,15866660779,130192,23922693,130097
1782709094608,74852,350849610,130985,0,0,1684139913,15963835281,130976,23992354,130881
1782709094858,75101,353484053,132049,0,0,1708619650,16076167309,132039,24848591,131944
1782709095121,75364,357512318,133201,0,0,1720107580,16190999286,133192,24941616,133097
1782709095372,75615,359321387,134326,0,0,1727195156,16329840968,134316,25036875,134165
1782709095625,75869,360144823,135227,0,0,1753218142,16447098494,135217,25119600,135064
1782709095882,76125,363506791,136804,0,0,1770570316,16665038121,136795,25274976,136631
1782709096133,76376,366879447,138180,0,0,1801477829,16826962625,138170,25407540,138006
1782709096385,76628,370551708,139751,0,0,1817859484,17020406203,139741,25558008,139575
1782709096636,76880,380653160,141187,0,0,1831271721,17194103212,141177,25694052,140981
1782709096887,77130,382224513,142553,0,0,1857750768,17384358952,142543,25826608,142346
1782709097140,77383,389153085,143994,0,0,1868641551,17569221625,143984,25970919,143787
1782709097391,77634,394074249,145495,0,0,1882285204,17764016455,145485,26617656,145282
1782709097642,77886,396657118,146814,0,0,1899559603,17967782521,146804,26754769,146595
1782709097894,78137,399062960,148302,0,0,1916511310,18167325842,148292,26909395,148082
